locus_tag	ftype	length_bp	gene	EC_number	COG	product
OEAHBEAM_04474	CDS	462				hypothetical protein
OEAHBEAM_04475	CDS	1137	yibH		COG1566	Inner membrane protein YibH
OEAHBEAM_04476	CDS	363	yiaW_2			Inner membrane protein YiaW
OEAHBEAM_04477	CDS	1914	mtlA_2		COG2213	PTS system mannitol-specific EIICBA component
OEAHBEAM_04478	CDS	1149	mtlD	1.1.1.17	COG0246	Mannitol-1-phosphate 5-dehydrogenase
OEAHBEAM_04479	CDS	588	mtlR		COG3722	Mannitol operon repressor
OEAHBEAM_04480	CDS	210				hypothetical protein
OEAHBEAM_04481	CDS	363	yibL			putative protein YibL
OEAHBEAM_04482	CDS	582	sadB			Inner membrane lipoprotein SadB
OEAHBEAM_04483	CDS	4767	ehaG		COG5295	Autotransporter adhesin EhaG
OEAHBEAM_04484	CDS	1656	lldP		COG1620	L-lactate permease
OEAHBEAM_04485	CDS	777	lldR_2		COG2186	Putative L-lactate dehydrogenase operon regulatory protein
OEAHBEAM_04486	CDS	1191	lldD	1.1.-.-	COG1304	L-lactate dehydrogenase
OEAHBEAM_04487	CDS	474	trmL	2.1.1.207	COG0219	tRNA (cytidine(34)-2'-O)-methyltransferase
OEAHBEAM_04488	CDS	822	cysE_3	2.3.1.30	COG1045	Serine acetyltransferase
OEAHBEAM_04489	CDS	1020	gpsA	1.1.1.94	COG0240	Glycerol-3-phosphate dehydrogenase [NAD(P)+]
OEAHBEAM_04490	CDS	468	secB		COG1952	Protein-export protein SecB
OEAHBEAM_04491	CDS	252	grxC		COG0695	Glutaredoxin 3
OEAHBEAM_04492	CDS	432	yibN		COG0607	putative protein YibN
OEAHBEAM_04493	CDS	1545	gpmI	5.4.2.12	COG0696	2,3-bisphosphoglycerate-independent phosphoglycerate mutase
OEAHBEAM_04494	CDS	1260	envC		COG4942	Murein hydrolase activator EnvC
OEAHBEAM_04495	CDS	960				hypothetical protein
OEAHBEAM_04496	CDS	1035	arnC_2	2.4.2.53		Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase
OEAHBEAM_04497	CDS	1026	tdh_2	1.1.1.103	COG1063	L-threonine 3-dehydrogenase
OEAHBEAM_04498	CDS	1197	kbl	2.3.1.29	COG0156	2-amino-3-ketobutyrate coenzyme A ligase
OEAHBEAM_04499	CDS	873	htrL			Protein HtrL
OEAHBEAM_04500	CDS	933	hldD	5.1.3.20	COG0451	ADP-L-glycero-D-manno-heptose-6-epimerase
OEAHBEAM_04501	CDS	1047	rfaF	2.-.-.-	COG0859	ADP-heptose--LPS heptosyltransferase 2
OEAHBEAM_04502	CDS	993	rfaC	2.-.-.-	COG0859	Lipopolysaccharide heptosyltransferase 1
OEAHBEAM_04503	CDS	1209				hypothetical protein
OEAHBEAM_04504	CDS	1143	mshA_2	2.4.1.250		D-inositol-3-phosphate glycosyltransferase
OEAHBEAM_04505	CDS	1014	gspA_1		COG1442	General stress protein A
OEAHBEAM_04506	CDS	708	rfaY	2.7.1.-		Lipopolysaccharide core heptose(II) kinase RfaY
OEAHBEAM_04507	CDS	1008	gspA_2		COG1442	General stress protein A
OEAHBEAM_04508	CDS	798	rfaP	2.7.1.-		Lipopolysaccharide core heptose(I) kinase RfaP
OEAHBEAM_04509	CDS	1125	rfaG	2.4.-.-		Lipopolysaccharide core biosynthesis protein RfaG
OEAHBEAM_04510	CDS	1059	rfaQ	2.-.-.-	COG0859	Lipopolysaccharide core heptosyltransferase RfaQ
OEAHBEAM_04511	CDS	1278	waaA	2.4.99.12	COG1519	3-deoxy-D-manno-octulosonic acid transferase
OEAHBEAM_04512	CDS	480	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
OEAHBEAM_04513	CDS	810	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
OEAHBEAM_04514	CDS	168	rpmG		COG0267	50S ribosomal protein L33
OEAHBEAM_04515	CDS	237	rpmB		COG0227	50S ribosomal protein L28
OEAHBEAM_04516	CDS	669				hypothetical protein
OEAHBEAM_04517	CDS	1221	coaBC		COG0452	Coenzyme A biosynthesis bifunctional protein CoaBC
OEAHBEAM_04518	CDS	459	dut	3.6.1.23	COG0756	Deoxyuridine 5'-triphosphate nucleotidohydrolase
OEAHBEAM_04519	CDS	597	slmA			Nucleoid occlusion factor SlmA
OEAHBEAM_04520	CDS	642	pyrE	2.4.2.10	COG0461	Orotate phosphoribosyltransferase
OEAHBEAM_04521	CDS	687	rph		COG0689	Truncated inactive ribonuclease PH
OEAHBEAM_04522	CDS	864				hypothetical protein
OEAHBEAM_04523	CDS	825				hypothetical protein
OEAHBEAM_04524	CDS	618				hypothetical protein
OEAHBEAM_04525	CDS	1683	ligB	6.5.1.2	COG0272	DNA ligase B
OEAHBEAM_04526	CDS	624	gmk	2.7.4.8	COG0194	Guanylate kinase
OEAHBEAM_04527	CDS	276	rpoZ	2.7.7.6	COG1758	DNA-directed RNA polymerase subunit omega
OEAHBEAM_04528	CDS	2109	spoT		COG0317	Bifunctional (p)ppGpp synthase/hydrolase SpoT
OEAHBEAM_04529	CDS	657	trmH_1	2.1.1.34	COG0566	tRNA (guanosine(18)-2'-O)-methyltransferase
OEAHBEAM_04530	CDS	2082	recG	3.6.4.12	COG1200	ATP-dependent DNA helicase RecG
OEAHBEAM_04531	CDS	867				hypothetical protein
OEAHBEAM_04532	CDS	1206	gltS		COG0786	Sodium/glutamate symporter
OEAHBEAM_04533	CDS	1392	xanP		COG2233	Xanthine permease XanP
OEAHBEAM_04534	CDS	1710				hypothetical protein
OEAHBEAM_04535	CDS	2319	yicI	3.2.1.177	COG1501	Alpha-xylosidase
OEAHBEAM_04536	CDS	1383	yicJ_2		COG2211	Inner membrane symporter YicJ
OEAHBEAM_04537	tRNA	95				tRNA-SeC(tca)
OEAHBEAM_04538	CDS	1182	intS_4		COG0582	Prophage integrase IntS
OEAHBEAM_04539	CDS	315				IS3 family transposase ISEc31
OEAHBEAM_04540	CDS	747				IS3 family transposase ISEc31
OEAHBEAM_04541	CDS	375	cbtA_3			Cytoskeleton-binding toxin CbtA
OEAHBEAM_04542	CDS	492				hypothetical protein
OEAHBEAM_04543	CDS	198				hypothetical protein
OEAHBEAM_04544	CDS	342				hypothetical protein
OEAHBEAM_04545	CDS	144				hypothetical protein
OEAHBEAM_04546	CDS	381				hypothetical protein
OEAHBEAM_04547	CDS	348				hypothetical protein
OEAHBEAM_04548	CDS	1539				IS66 family transposase ISEc8
OEAHBEAM_04549	CDS	747	espF(U)_3			Secreted effector protein EspF(U)
OEAHBEAM_04550	CDS	279				hypothetical protein
OEAHBEAM_04551	CDS	222				hypothetical protein
OEAHBEAM_04552	CDS	408				hypothetical protein
OEAHBEAM_04553	CDS	939	eaeB			Protein EaeB
OEAHBEAM_04554	CDS	1125				hypothetical protein
OEAHBEAM_04555	CDS	579				hypothetical protein
OEAHBEAM_04556	CDS	1056				hypothetical protein
OEAHBEAM_04557	CDS	1221				hypothetical protein
OEAHBEAM_04558	CDS	2805	eae			Intimin
OEAHBEAM_04559	CDS	471	cesT			Tir chaperone
OEAHBEAM_04560	CDS	1677	tir			Translocated intimin receptor Tir
OEAHBEAM_04561	CDS	612				hypothetical protein
OEAHBEAM_04562	CDS	384				hypothetical protein
OEAHBEAM_04563	CDS	507				hypothetical protein
OEAHBEAM_04564	CDS	918				hypothetical protein
OEAHBEAM_04565	CDS	321				hypothetical protein
OEAHBEAM_04566	CDS	1341	yscN	7.1.2.2		putative ATP synthase YscN
OEAHBEAM_04567	CDS	2028	ssaV		COG4789	Secretion system apparatus protein SsaV
OEAHBEAM_04568	CDS	354				hypothetical protein
OEAHBEAM_04569	CDS	300				hypothetical protein
OEAHBEAM_04570	CDS	378				hypothetical protein
OEAHBEAM_04571	CDS	573	yscJ			Yop proteins translocation lipoprotein J
OEAHBEAM_04572	CDS	456				hypothetical protein
OEAHBEAM_04573	CDS	1539	sctC_2			Type 3 secretion system secretin
OEAHBEAM_04574	CDS	456				hypothetical protein
OEAHBEAM_04575	CDS	414				hypothetical protein
OEAHBEAM_04576	CDS	372				hypothetical protein
OEAHBEAM_04577	CDS	459				hypothetical protein
OEAHBEAM_04578	CDS	1038	yscU			Yop proteins translocation protein U
OEAHBEAM_04579	CDS	777				hypothetical protein
OEAHBEAM_04580	CDS	270				hypothetical protein
OEAHBEAM_04581	CDS	654	spaP_2		COG4790	Surface presentation of antigens protein SpaP
OEAHBEAM_04582	CDS	654				hypothetical protein
OEAHBEAM_04583	CDS	600				hypothetical protein
OEAHBEAM_04584	CDS	315				hypothetical protein
OEAHBEAM_04585	CDS	219				hypothetical protein
OEAHBEAM_04586	CDS	372				hypothetical protein
OEAHBEAM_04587	CDS	1146				hypothetical protein
OEAHBEAM_04588	CDS	819	yjiK_1		COG3204	putative protein YjiK
OEAHBEAM_04589	CDS	108				hypothetical protein
OEAHBEAM_04590	CDS	924	yicL		COG0697	putative inner membrane transporter YicL
OEAHBEAM_04591	CDS	819	nlpA		COG1464	Lipoprotein 28
OEAHBEAM_04592	CDS	294				hypothetical protein
OEAHBEAM_04593	CDS	1239	nepI_2		COG2814	Purine ribonucleoside efflux pump NepI
OEAHBEAM_04594	CDS	354				hypothetical protein
OEAHBEAM_04595	CDS	324				hypothetical protein
OEAHBEAM_04596	CDS	453				hypothetical protein
OEAHBEAM_04597	CDS	1335	adeQ		COG2252	Adenine permease AdeQ
OEAHBEAM_04598	CDS	1767	ade	3.5.4.2	COG1001	Adenine deaminase
OEAHBEAM_04599	CDS	1392	uhpT		COG2271	Hexose-6-phosphate:phosphate antiporter
OEAHBEAM_04600	CDS	1320	uhpC_2		COG2271	Membrane sensor protein UhpC
OEAHBEAM_04601	CDS	1503	uhpB_2	2.7.13.3		Signal transduction histidine-protein kinase/phosphatase UhpB
OEAHBEAM_04602	CDS	591	uhpA_2		COG2197	Transcriptional regulatory protein UhpA
OEAHBEAM_04603	CDS	1104				hypothetical protein
OEAHBEAM_04604	CDS	315				hypothetical protein
OEAHBEAM_04605	CDS	483				hypothetical protein
OEAHBEAM_04606	CDS	654				hypothetical protein
OEAHBEAM_04607	CDS	291	ilvN	2.2.1.6	COG0440	Acetolactate synthase isozyme 1 small subunit
OEAHBEAM_04608	CDS	1689	ilvB	2.2.1.6	COG0028	Acetolactate synthase isozyme 1 large subunit
OEAHBEAM_04609	CDS	90	tisB			Small toxic protein TisB
OEAHBEAM_04610	CDS	1185	emrD			Multidrug resistance protein D
OEAHBEAM_04611	CDS	498				hypothetical protein
OEAHBEAM_04612	CDS	363	yidG			Inner membrane protein YidG
OEAHBEAM_04613	CDS	348	yidH		COG2149	Inner membrane protein YidH
OEAHBEAM_04614	CDS	450	yidI			Inner membrane protein YidI
OEAHBEAM_04615	CDS	1494		3.1.6.-		Ulvan-active sulfatase
OEAHBEAM_04616	CDS	1716	yidK		COG4146	putative symporter YidK
OEAHBEAM_04617	CDS	894	rhaR_4			HTH-type transcriptional activator RhaR
OEAHBEAM_04618	CDS	1323	aglB	3.2.1.122	COG1486	6-phospho-alpha-glucosidase
OEAHBEAM_04619	CDS	486	malP_3		COG1263	PTS system maltose-specific EIICB component
OEAHBEAM_04620	CDS	1107	glvC		COG1263	Phosphotransferase IIC component GlvC
OEAHBEAM_04621	CDS	717	mngR_2		COG2188	Mannosyl-D-glycerate transport/metabolism system repressor MngR
OEAHBEAM_04622	CDS	1662	aspT_2			Aspartate/alanine antiporter
OEAHBEAM_04623	CDS	429	ibpB		COG0071	Small heat shock protein IbpB
OEAHBEAM_04624	CDS	414	ibpA		COG0071	Small heat shock protein IbpA
OEAHBEAM_04625	CDS	261				hypothetical protein
OEAHBEAM_04626	CDS	1215				hypothetical protein
OEAHBEAM_04627	CDS	1065	cbrA		COG0644	Protein CbrA
OEAHBEAM_04628	CDS	657				hypothetical protein
OEAHBEAM_04629	CDS	813	yidA	3.1.3.23	COG0561	Sugar phosphatase YidA
OEAHBEAM_04630	CDS	399				hypothetical protein
OEAHBEAM_04631	CDS	2415	gyrB	5.6.2.2	COG0187	DNA gyrase subunit B
OEAHBEAM_04632	CDS	1074	recF		COG1195	DNA replication and repair protein RecF
OEAHBEAM_04633	CDS	1101	dnaN		COG0592	Beta sliding clamp
OEAHBEAM_04634	CDS	1404	dnaA		COG0593	Chromosomal replication initiator protein DnaA
OEAHBEAM_04635	CDS	141	rpmH		COG0230	50S ribosomal protein L34
OEAHBEAM_04636	CDS	327	rnpA	3.1.26.5	COG0594	Ribonuclease P protein component
OEAHBEAM_04637	CDS	1647	yidC		COG0706	Membrane protein insertase YidC
OEAHBEAM_04638	CDS	1365	mnmE	3.6.-.-	COG0486	tRNA modification GTPase MnmE
OEAHBEAM_04639	CDS	231				hypothetical protein
OEAHBEAM_04640	CDS	1989				hypothetical protein
OEAHBEAM_04641	CDS	1416	tnaA	4.1.99.1	COG3033	Tryptophanase
OEAHBEAM_04642	CDS	1248	tnaB		COG0814	Low affinity tryptophan permease
OEAHBEAM_04643	CDS	1176	mdtL			Multidrug resistance protein MdtL
OEAHBEAM_04644	CDS	960	yidZ			HTH-type transcriptional regulator YidZ
OEAHBEAM_04645	CDS	750				hypothetical protein
OEAHBEAM_04646	CDS	567	chrR	1.6.5.2	COG0431	Quinone reductase
OEAHBEAM_04647	CDS	1338	adeP		COG2252	Adenine permease AdeP
OEAHBEAM_04648	CDS	666	yieH	3.1.3.-	COG0637	6-phosphogluconate phosphatase
OEAHBEAM_04649	CDS	2409				hypothetical protein
OEAHBEAM_04650	CDS	672				hypothetical protein
OEAHBEAM_04651	CDS	426				hypothetical protein
OEAHBEAM_04652	CDS	2262				hypothetical protein
OEAHBEAM_04653	CDS	135				hypothetical protein
OEAHBEAM_04654	CDS	726	phoU		COG0704	Phosphate-specific transport system accessory protein PhoU
OEAHBEAM_04655	CDS	774	pstB	7.3.2.1	COG1117	Phosphate import ATP-binding protein PstB
OEAHBEAM_04656	CDS	891	pstA		COG0581	Phosphate transport system permease protein PstA
OEAHBEAM_04657	CDS	960	pstC		COG0573	Phosphate transport system permease protein PstC
OEAHBEAM_04658	CDS	1041	pstS		COG0226	Phosphate-binding protein PstS
OEAHBEAM_04659	CDS	1083	elfG_2		COG3539	putative fimbrial-like protein ElfG
OEAHBEAM_04660	CDS	1071	elfG_3		COG3539	putative fimbrial-like protein ElfG
OEAHBEAM_04661	CDS	2535	elfC_3		COG3188	putative outer membrane usher protein ElfC
OEAHBEAM_04662	CDS	384	yraI_2			putative fimbrial chaperone YraI
OEAHBEAM_04663	CDS	603	lpfA_2			putative major fimbrial subunit LpfA
OEAHBEAM_04664	CDS	1830	glmS_2	2.6.1.16	COG0449	Glutamine--fructose-6-phosphate aminotransferase [isomerizing]
OEAHBEAM_04665	CDS	1371	glmU		COG1207	Bifunctional protein GlmU
OEAHBEAM_04666	CDS	420	atpC		COG0355	ATP synthase epsilon chain
OEAHBEAM_04667	CDS	1383	atpD	7.1.2.2	COG0055	ATP synthase subunit beta
OEAHBEAM_04668	CDS	864	atpG		COG0224	ATP synthase gamma chain
OEAHBEAM_04669	CDS	1542	atpA	7.1.2.2		ATP synthase subunit alpha
OEAHBEAM_04670	CDS	534	atpH		COG0712	ATP synthase subunit delta
OEAHBEAM_04671	CDS	471	atpF		COG0711	ATP synthase subunit b
OEAHBEAM_04672	CDS	240	atpE		COG0636	ATP synthase subunit c
OEAHBEAM_04673	CDS	816	atpB		COG0356	ATP synthase subunit a
OEAHBEAM_04674	CDS	381	atpI		COG3312	ATP synthase protein I
OEAHBEAM_04675	CDS	624	rsmG	2.1.1.170	COG0357	Ribosomal RNA small subunit methyltransferase G
OEAHBEAM_04676	CDS	1890	mnmG		COG0445	tRNA uridine 5-carboxymethylaminomethyl modification enzyme MnmG
OEAHBEAM_04677	CDS	444	mioC		COG0716	Protein MioC
OEAHBEAM_04678	CDS	459	asnC		COG1522	Regulatory protein AsnC
OEAHBEAM_04679	CDS	993	asnA	6.3.1.1	COG2502	Aspartate--ammonia ligase
OEAHBEAM_04680	CDS	1452	viaA		COG2425	Protein ViaA
OEAHBEAM_04681	CDS	1497	ravA	3.6.3.-	COG0714	ATPase RavA
OEAHBEAM_04682	CDS	1869	kup			Low affinity potassium transport system protein kup
OEAHBEAM_04683	CDS	420	rbsD	5.4.99.62	COG1869	D-ribose pyranase
OEAHBEAM_04684	CDS	1506	rbsA_1	7.5.2.7	COG1129	Ribose import ATP-binding protein RbsA
OEAHBEAM_04685	CDS	966	rbsC_3		COG1172	Ribose import permease protein RbsC
OEAHBEAM_04686	CDS	891	rbsB_1		COG1879	Ribose import binding protein RbsB
OEAHBEAM_04687	CDS	930	rbsK	2.7.1.15	COG0524	Ribokinase
OEAHBEAM_04688	CDS	993	rbsR		COG1609	Ribose operon repressor
OEAHBEAM_04689	CDS	1428	hsrA			putative transport protein HsrA
OEAHBEAM_04690	CDS	693	nanR_2			HTH-type transcriptional repressor NanR
OEAHBEAM_04691	rRNA	1538				16S ribosomal RNA
OEAHBEAM_04692	tRNA	76				tRNA-Glu(ttc)
OEAHBEAM_04693	rRNA	2902				23S ribosomal RNA
OEAHBEAM_04694	rRNA	111				5S ribosomal RNA
OEAHBEAM_04695	tRNA	77				tRNA-Asp(gtc)
OEAHBEAM_04696	tRNA	76				tRNA-Trp(cca)
OEAHBEAM_04697	CDS	840	hdfR_2			HTH-type transcriptional regulator HdfR
OEAHBEAM_04698	CDS	339				hypothetical protein
OEAHBEAM_04699	CDS	1521	comM		COG0606	Competence protein ComM
OEAHBEAM_04700	CDS	984	ilvG_1	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
OEAHBEAM_04701	CDS	537	ilvG_2	2.2.1.6		Acetolactate synthase isozyme 2 large subunit
OEAHBEAM_04702	CDS	264	ilvM	2.2.1.6	COG3978	Acetolactate synthase isozyme 2 small subunit
OEAHBEAM_04703	CDS	930	ilvE	2.6.1.42	COG0115	Branched-chain-amino-acid aminotransferase
OEAHBEAM_04704	CDS	1851	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
OEAHBEAM_04705	CDS	1545	ilvA	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
OEAHBEAM_04706	CDS	894	gltC_3			HTH-type transcriptional regulator GltC
OEAHBEAM_04707	CDS	1476	ilvC	1.1.1.86	COG0059	Ketol-acid reductoisomerase (NADP(+))
OEAHBEAM_04708	CDS	282	ppiC	5.2.1.8	COG0760	Peptidyl-prolyl cis-trans isomerase C
OEAHBEAM_04709	CDS	219				hypothetical protein
OEAHBEAM_04710	CDS	2022	rep_1	3.6.4.12	COG0210	ATP-dependent DNA helicase Rep
OEAHBEAM_04711	CDS	1485	gppA	3.6.1.40	COG0248	Guanosine-5'-triphosphate,3'-diphosphate pyrophosphatase
OEAHBEAM_04712	CDS	1266	rhlB	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlB
OEAHBEAM_04713	CDS	330	trxA		COG0526	Thioredoxin 1
OEAHBEAM_04714	CDS	1260	rho	3.6.4.-	COG1158	Transcription termination factor Rho
OEAHBEAM_04715	CDS	219				hypothetical protein
OEAHBEAM_04716	CDS	1104	wecA	2.7.8.33	COG0472	Undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphate transferase
OEAHBEAM_04717	CDS	1047	wzzE		COG3765	ECA polysaccharide chain length modulation protein
OEAHBEAM_04718	CDS	1131	wecB	5.1.3.14	COG0381	UDP-N-acetylglucosamine 2-epimerase
OEAHBEAM_04719	CDS	1263	wecC	1.1.1.336	COG0677	UDP-N-acetyl-D-mannosamine dehydrogenase
OEAHBEAM_04720	CDS	1068	rffG	4.2.1.46	COG1088	dTDP-glucose 4,6-dehydratase 2
OEAHBEAM_04721	CDS	882	rffH	2.7.7.24	COG1209	Glucose-1-phosphate thymidylyltransferase 2
OEAHBEAM_04722	CDS	675	wecD	2.3.1.210	COG0454	dTDP-fucosamine acetyltransferase
OEAHBEAM_04723	CDS	1131	wecE	2.6.1.59	COG0399	dTDP-4-amino-4,6-dideoxygalactose transaminase
OEAHBEAM_04724	CDS	1251	wzxE		COG2244	Lipid III flippase
OEAHBEAM_04725	CDS	1080	wecF	2.4.1.325		TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase
OEAHBEAM_04726	CDS	1353	wzyE			putative ECA polymerase
OEAHBEAM_04727	CDS	741	wecG	2.4.1.180	COG1922	UDP-N-acetyl-D-mannosaminuronic acid transferase
OEAHBEAM_04728	CDS	1386	yifK		COG1113	putative transport protein YifK
OEAHBEAM_04729	tRNA	77				tRNA-Arg(ccg)
OEAHBEAM_04730	tRNA	76				tRNA-His(gtg)
OEAHBEAM_04731	tRNA	87				tRNA-Leu(cag)
OEAHBEAM_04732	tRNA	75				tRNA-Pro(tgg)
OEAHBEAM_04733	tRNA	87				tRNA-Leu(cag)
OEAHBEAM_04734	tRNA	77				tRNA-Pro(tgg)
OEAHBEAM_04735	CDS	1236	chuR_2	1.1.99.-	COG0641	Anaerobic sulfatase-maturating enzyme
OEAHBEAM_04736	CDS	1656		3.1.6.-	COG3119	N-acetylgalactosamine-6-O-sulfatase
OEAHBEAM_04737	CDS	1197	hemY		COG3071	Protein HemY
OEAHBEAM_04738	CDS	1200	hemX		COG2959	Protein HemX
OEAHBEAM_04739	CDS	741	hemD	4.2.1.75	COG1587	Uroporphyrinogen-III synthase
OEAHBEAM_04740	CDS	963	hemC	2.5.1.61	COG0181	Porphobilinogen deaminase
OEAHBEAM_04741	CDS	2547	cyaA	4.6.1.1	COG3072	Adenylate cyclase
OEAHBEAM_04742	CDS	321	cyaY		COG1965	Iron-sulfur cluster assembly protein CyaY
OEAHBEAM_04743	CDS	204				hypothetical protein
OEAHBEAM_04744	CDS	825	dapF	5.1.1.7	COG0253	Diaminopimelate epimerase
OEAHBEAM_04745	CDS	708				hypothetical protein
OEAHBEAM_04746	CDS	897	xerC_4		COG4973	Tyrosine recombinase XerC
OEAHBEAM_04747	CDS	717	yigB	3.1.3.104	COG1011	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YigB
OEAHBEAM_04748	CDS	2163	uvrD	3.6.4.12	COG0210	DNA helicase II
OEAHBEAM_04749	CDS	903	salL	2.5.1.94	COG1912	Adenosyl-chloride synthase
OEAHBEAM_04750	CDS	765				hypothetical protein
OEAHBEAM_04751	CDS	951	corA		COG0598	Magnesium transport protein CorA
OEAHBEAM_04752	CDS	492				hypothetical protein
OEAHBEAM_04753	CDS	849				hypothetical protein
OEAHBEAM_04754	CDS	300				hypothetical protein
OEAHBEAM_04755	CDS	888	rarD		COG2962	Protein RarD
OEAHBEAM_04756	CDS	468				hypothetical protein
OEAHBEAM_04757	CDS	870	pldA	3.1.1.32	COG2829	Phospholipase A1
OEAHBEAM_04758	CDS	1836	recQ_2	3.6.4.12	COG0514	ATP-dependent DNA helicase RecQ
OEAHBEAM_04759	CDS	621	rhtC_2		COG1280	Threonine efflux protein
OEAHBEAM_04760	CDS	621	rhtB		COG1280	Homoserine/homoserine lactone efflux protein
OEAHBEAM_04761	CDS	1023	pldB	3.1.1.5	COG2267	Lysophospholipase L2
OEAHBEAM_04762	CDS	801	yigL	3.1.3.74	COG0561	Pyridoxal phosphate phosphatase YigL
OEAHBEAM_04763	CDS	900	bioP		COG0697	Biotin transporter
OEAHBEAM_04764	CDS	954	metR			HTH-type transcriptional regulator MetR
OEAHBEAM_04765	CDS	2262	metE	2.1.1.14	COG0620	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase
OEAHBEAM_04766	CDS	816	clcD	3.1.1.45		Carboxymethylenebutenolidase
OEAHBEAM_04767	CDS	762	udp	2.4.2.3	COG2820	Uridine phosphorylase
OEAHBEAM_04768	CDS	1428				hypothetical protein
OEAHBEAM_04769	CDS	756	ubiE	2.1.1.163	COG2226	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE
OEAHBEAM_04770	CDS	606	ubiJ_2		COG3165	Ubiquinone biosynthesis accessory factor UbiJ
OEAHBEAM_04771	CDS	1641	ubiB	2.7.-.-	COG0661	putative protein kinase UbiB
OEAHBEAM_04772	CDS	270	tatA		COG1826	Sec-independent protein translocase protein TatA
OEAHBEAM_04773	CDS	516	tatB		COG1826	Sec-independent protein translocase protein TatB
OEAHBEAM_04774	CDS	777	tatC		COG0805	Sec-independent protein translocase protein TatC
OEAHBEAM_04775	CDS	783	tatD	3.1.11.-	COG0084	3'-5' ssDNA/RNA exonuclease TatD
OEAHBEAM_04776	CDS	489	rfaH		COG0250	Transcription antitermination protein RfaH
OEAHBEAM_04777	CDS	1494	ubiD	4.1.1.98	COG0043	3-octaprenyl-4-hydroxybenzoate carboxy-lyase
OEAHBEAM_04778	CDS	702	fre	1.5.1.41	COG0543	NAD(P)H-flavin reductase
OEAHBEAM_04779	CDS	1164	fadA	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadA
OEAHBEAM_04780	CDS	2190	fadB		COG1024	Fatty acid oxidation complex subunit alpha
OEAHBEAM_04781	CDS	1332	pepQ	3.4.13.9	COG0006	Xaa-Pro dipeptidase
OEAHBEAM_04782	CDS	615	yigZ		COG1739	IMPACT family member YigZ
OEAHBEAM_04783	CDS	1452	trkH		COG0168	Trk system potassium uptake protein TrkH
OEAHBEAM_04784	CDS	546	hemG	1.3.5.3	COG4635	Protoporphyrinogen IX dehydrogenase [menaquinone]
OEAHBEAM_04785	rRNA	1538				16S ribosomal RNA
OEAHBEAM_04786	tRNA	77				tRNA-Ile(gat)
OEAHBEAM_04787	tRNA	76				tRNA-Ala(tgc)
OEAHBEAM_04788	rRNA	2902				23S ribosomal RNA
OEAHBEAM_04789	rRNA	111				5S ribosomal RNA
OEAHBEAM_04790	CDS	528	mobB		COG1763	Molybdopterin-guanine dinucleotide biosynthesis adapter protein
OEAHBEAM_04791	CDS	585	mobA	2.7.7.77	COG0746	Molybdenum cofactor guanylyltransferase
OEAHBEAM_04792	CDS	270	yihD		COG3084	Protein YihD
OEAHBEAM_04793	CDS	987	srkA	2.7.11.1	COG2334	Stress response kinase A
OEAHBEAM_04794	CDS	627	dsbA		COG0526	Thiol:disulfide interchange protein DsbA
OEAHBEAM_04795	CDS	1431	ydgA_2		COG5339	Protein YdgA
OEAHBEAM_04796	CDS	933	yihG	2.3.-.-	COG0204	putative acyltransferase YihG
OEAHBEAM_04797	CDS	186				hypothetical protein
OEAHBEAM_04798	CDS	2787	polA	2.7.7.7	COG0258	DNA polymerase I
OEAHBEAM_04799	CDS	633	engB		COG0218	putative GTP-binding protein EngB
OEAHBEAM_04800	CDS	513	yihI		COG3078	Der GTPase-activating protein YihI
OEAHBEAM_04801	CDS	1374	hemN	1.3.98.3	COG0635	Oxygen-independent coproporphyrinogen III oxidase
OEAHBEAM_04802	CDS	111	yshB			putative protein YshB
OEAHBEAM_04803	CDS	1410	glnG		COG2204	DNA-binding transcriptional regulator NtrC
OEAHBEAM_04804	CDS	1050	glnL	2.7.13.3	COG3852	Sensory histidine kinase/phosphatase NtrB
OEAHBEAM_04805	CDS	1410	glnA	6.3.1.2	COG0174	Glutamine synthetase
OEAHBEAM_04806	CDS	1824	typA		COG1217	GTP-binding protein TypA/BipA
OEAHBEAM_04807	CDS	711	phnR		COG2188	Putative transcriptional regulator of 2-aminoethylphosphonate degradation operons
OEAHBEAM_04808	CDS	981				hypothetical protein
OEAHBEAM_04809	CDS	1266	yihN			Inner membrane protein YihN
OEAHBEAM_04810	CDS	693	ompL			Porin OmpL
OEAHBEAM_04811	CDS	1404	yihP_1		COG2211	Putative 2,3-dihydroxypropane-1-sulfonate exporter
OEAHBEAM_04812	CDS	1386	yihP_2		COG2211	Putative 2,3-dihydroxypropane-1-sulfonate exporter
